"title","url","stars","name","reviewUrl","text"
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Si Dedek","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkMldFeDFTbHBvYTBWNWJWUTJWVE5GZUVkTlNtYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOld2WEx1Slpoa0V5bVQ2VTNFeEdNSmc%7C%7C?hl=id","Stadion Gelora Bangkalan markas Madura United FC, punya rumput yg bagus, lokasinya di tengah kota, jadi gak susah buat dateng. Fasilitasnya juga oke, ada banyak yg jual sgala makanan dan minuman,ada playground ,penyewaan sepeda/mobil anak, dibelakang stadion juga terdapat kafe aesthetic, cocok untuk ngopi² santuy"
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Delia Piero","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKdGJFNVpWRk5CY1daTU9FTjVla2g1V21KalRHYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOkJtbE5ZVFNBcWZMOEN5ekh5WmJjTGc%7C%7C?hl=id","Keadaan malam hari rame pool.. banyak jajanan dan wahana bermain anak."
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","fnu zirajuddin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGMmFXcFVTa1JmVlcxSVExOWhRbVIwY205c2VtYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOjF2aWpUSkRfVW1IQ19hQmR0cm9semc%7C%7C?hl=id",
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Ali Wizky","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pOSVJtTm1SRnAwYWpsTGQzazBURkJJV2pkRVFYYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOjNIRmNmRFp0ajlLd3k0TFBIWjdEQXc%7C%7C?hl=id","Ada sebuah kisah tentang seseorang yang sedang berat hidupnya karena banyak masalah yang terjadi dia ingin mengurangi masalah dengan mencari hiburan dan tempat yang menyenangkan sehingga pada akhirnya dia menemukan tempat ini, menikmati suasananya yang indah dan hiburan yang menyenangkan ditemani secangkir kopi dan beberapa camilan sehingga mengurangi beban pikiran dan orang tersebut adalah saya"
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","3","Haidar Syabil","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kMmNrOTBVV0ZKT1hoaWFtTjBUMjF1TkZwc2VsRRAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOmd2ck90UWFJOXhiamN0T21uNFpselE%7C%7C?hl=id","Tempatnya tak terurus"
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Reyhan Doremun","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21RemJtbEVlSE5TU21OdmFWOVpOa0ZWWW14blZuYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOmQzbmlEeHNSSmNvaV9ZNkFVYmxnVnc%7C%7C?hl=id",
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","3","Elena Force","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT214TVJHMXFUV2xXVWxoM1N6WnliVGhXYURVNVUyYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOmxMRG1qTWlWUlh3SzZybThWaDU5U2c%7C%7C?hl=id","3 Stars for the average place 😊"
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Santry channel","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25sTk1sTnpWRm8xUW1wWFRXVjRUMWxzWlhGSmVsRRAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOnlNMlNzVFo1QmpXTWV4T1lsZXFJelE%7C%7C?hl=id","Stadion milik Bangkalan yang indah , rumputnya impor dari luar negeri"
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","3","PRAV KAYANA","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT204dGVsVlJVVFZIVG5GVVVHZG5NV3d6Y1hKSllrRRAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOm8telVRUTVHTnFUUGdnMWwzcXJJYkE%7C%7C?hl=id",
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Ulva Abadi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tOSmVWQjZURkZQVm5ObFprWllWSEpUVmw5S1NsRRAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOkNJeVB6TFFPVnNlZkZYVHJTVl9KSlE%7C%7C?hl=id",
